Experiment,Estimator,Noise Rate,Test Accuracy,Test AUC,EO_C1,DPD_C1,EOR_C1,PPD_C1,EO_C2,DPD_C2,EOR_C2,PPD_C2,filename
mimic_extract_los_3,resnet,0.3,0.6005,0.6312,0.0999,0.0526,0.1155,0.0281,0.5695,0.0815,0.7409,0.364,temporal
mimic_extract_los_3,tabtransformer,0.3,0.5826,0.6018,0.0999,0.0526,0.1155,0.0281,0.5695,0.0815,0.7409,0.364,temporal
mimic_extract_los_3,mlp,0.3,0.6047,0.637,0.1031,0.0545,0.1158,0.0289,0.61,0.0854,0.7245,0.3775,temporal
mimic_extract_los_3,lightgbm,0.3,0.6839,0.7013,0.0979,0.0539,0.1191,0.0254,0.6016,0.0904,0.7717,0.3392,temporal
mimic_extract_los_3,dro,0.3,0.5844,0.606,0.0732,0.0543,0.093,0.0201,0.4634,0.085,0.6021,0.2766,temporal
mimic_extract_los_3,ft_transformer,0.3,0.5238,0.5344,0.0949,0.063,0.1088,0.0235,0.61,0.0804,0.7954,0.3632,temporal
mimic_extract_los_3,catboost,0.3,0.712,0.7401,0.0844,0.048,0.1018,0.0223,0.5175,0.0744,0.6537,0.2983,temporal
mimic_extract_mort_hosp,FairRS (equalized_odds),0.3,0.8424,0.8056,0.0356,0.0175,0.0418,0.0479,0.1485,0.0129,0.1497,0.6091,temporal
mimic_extract_mort_hosp,FairRS (demographic_parity),0.3,0.8299,0.793,0.037,0.0182,0.0434,0.0498,0.1544,0.0134,0.1557,0.6331,temporal
mimic_extract_mort_hosp,FairGS (demographic_parity),0.3,0.8156,0.7817,0.0343,0.0169,0.0402,0.0462,0.143,0.0124,0.1442,0.5866,temporal
mimic_extract_mort_hosp,FairEG (equalized_odds),0.3,0.8175,0.7801,0.0341,0.0168,0.04,0.0459,0.1422,0.0123,0.1434,0.583,temporal
mimic_extract_mort_hosp,FairEG (demographic_parity),0.3,0.8342,0.7999,0.0379,0.0187,0.0445,0.051,0.158,0.0137,0.1595,0.6481,temporal
mimic_extract_mort_hosp,FairGS (equalized_odds),0.3,0.8237,0.7885,0.0347,0.0171,0.0407,0.0467,0.1447,0.0125,0.1459,0.5936,temporal
mimic_extract_mort_hosp,dann,0.3,0.8902,0.8491,0.0611,0.0304,0.0697,0.0866,0.2635,0.0222,0.2557,1.0962,temporal
mimic_extract_mort_hosp,vrex,0.3,0.9738,0.9351,0.0654,0.0315,0.077,0.0921,0.2877,0.0245,0.2902,1.1633,temporal
mimic_extract_mort_hosp,mixup,0.3,0.9184,0.8772,0.0617,0.0324,0.0705,0.0917,0.2686,0.0241,0.2602,1.1267,temporal
mimic_extract_mort_hosp,group_dro,0.3,0.9265,0.8703,0.0618,0.0309,0.0703,0.0897,0.2688,0.0241,0.2604,1.1263,temporal
mimic_extract_mort_hosp,resnet,0.3,0.7891,0.7621,0.0641,0.0305,0.072,0.0942,0.2494,0.0223,0.2583,1.1536,temporal
mimic_extract_mort_hosp,tabtransformer,0.3,0.7664,0.7389,0.0641,0.0305,0.072,0.0942,0.2494,0.0223,0.2583,1.1536,temporal
mimic_extract_mort_hosp,lightgbm,0.3,0.8993,0.8503,0.0629,0.0312,0.0742,0.0849,0.2634,0.0247,0.269,1.0738,temporal
mimic_extract_mort_hosp,dro,0.3,0.7687,0.7349,0.047,0.0315,0.058,0.0674,0.2032,0.0232,0.2102,0.8752,temporal
mimic_extract_mort_hosp,ft_transformer,0.3,0.6887,0.648,0.0646,0.0383,0.0723,0.0922,0.2688,0.0249,0.2772,1.1205,temporal
mimic_extract_mort_hosp,catboost,0.3,0.936,0.8972,0.0542,0.0278,0.0635,0.0747,0.2267,0.0203,0.2279,0.9444,temporal
mimic_extract_mort_hosp,mlp,0.3,0.7954,0.7721,0.0663,0.0316,0.0723,0.097,0.2676,0.0233,0.2525,0.1937,temporal
nhanes_lead,FairEG (demographic_parity),0.3,0.8582,0.3914,0.0,0.0022,0.0023,0.0298,0.0303,0.0293,0.0,0.0,temporal
nhanes_lead,FairEG (equalized_odds),0.3,0.8409,0.3819,0.0,0.002,0.0021,0.0268,0.0272,0.0264,0.0,0.0,temporal
nhanes_lead,FairGS (demographic_parity),0.3,0.8391,0.3827,0.0,0.002,0.0021,0.027,0.0274,0.0266,0.0,0.0,temporal
nhanes_lead,FairGS (equalized_odds),0.3,0.8472,0.3867,0.0,0.002,0.0022,0.0273,0.0277,0.0269,0.0,0.0,temporal
nhanes_lead,FairRS (demographic_parity),0.3,0.8536,0.39,0.0,0.0022,0.0023,0.0291,0.0296,0.0287,0.0,0.0,temporal
nhanes_lead,FairRS (equalized_odds),0.3,0.8669,0.3959,0.0,0.0021,0.0022,0.028,0.0285,0.0276,0.0,0.0,temporal
nhanes_lead,catboost,0.3,0.9631,0.4392,0.0,0.0032,0.0033,0.0435,0.0435,0.0435,0.0,0.0,temporal
nhanes_lead,ft_transformer,0.3,0.7082,0.3172,0.0,0.0435,0.0435,0.0435,0.042,0.0,0.042,0.0,temporal
nhanes_lead,lightgbm,0.3,0.9253,0.4166,0.0,0.0036,0.0039,0.0495,0.0506,0.0528,0.0,0.0,temporal
nhanes_lead,dann,0.3,0.9163,0.4157,0.0,0.0035,0.0036,0.0504,0.0506,0.0505,0.0,0.0,temporal
nhanes_lead,vrex,0.3,0.9151,0.4576,0.0,0.0036,0.004,0.0537,0.0551,0.0524,0.0,0.0,temporal
nhanes_lead,mixup,0.3,0.9462,0.4309,0.0,0.0037,0.0037,0.0534,0.0515,0.0516,0.0,0.0,temporal
nhanes_lead,group_dro,0.3,0.9542,0.4257,0.0,0.0036,0.0037,0.0522,0.0516,0.0516,0.0,0.0,temporal
nhanes_lead,resnet,0.3,0.8145,0.3743,0.0,0.0035,0.0037,0.0548,0.0479,0.0477,0.0,0.0,temporal
nhanes_lead,tabtransformer,0.3,0.7906,0.3601,0.0,0.0035,0.0037,0.0548,0.0479,0.0477,0.0,0.0,temporal
nhanes_lead,mlp,0.3,0.8211,0.3781,0.0,0.0036,0.0038,0.0566,0.0513,0.0499,0.0,0.0,temporal
nhanes_lead,dro,0.3,0.79,0.3598,0.0,0.0036,0.003,0.0392,0.039,0.0496,0.0,0.0,temporal
physionet,FairRS (equalized_odds),0.3,0.8835,0.4945,0.0,0.0,0.0,0.0,0.024,0.0,0.024,0.0,temporal
physionet,FairGS (equalized_odds),0.3,0.864,0.4834,0.0,0.0,0.0,0.0,0.0234,0.0,0.0234,0.0,temporal
physionet,FairGS (demographic_parity),0.3,0.8559,0.4784,0.0,0.0,0.0,0.0,0.0231,0.0,0.0231,0.0,temporal
physionet,FairEG (equalized_odds),0.3,0.8577,0.4774,0.0,0.0,0.0,0.0,0.023,0.0,0.023,0.0,temporal
physionet,FairEG (demographic_parity),0.3,0.875,0.4893,0.0,0.0,0.0,0.0,0.0255,0.0,0.0256,0.0,temporal
physionet,FairRS (demographic_parity),0.3,0.8703,0.4871,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,temporal
physionet,catboost,0.3,0.9815,0.5494,0.0,0.0,0.0,0.0,0.0366,0.0,0.0366,0.0,temporal
physionet,ft_transformer,0.3,0.7219,0.3968,0.0,0.0,0.0161,0.0054,0.05,0.0,0.0638,0.0,temporal
physionet,dro,0.3,0.8063,0.4501,0.0,0.0,0.0,0.0,0.0328,0.0,0.0337,0.0,temporal
physionet,lightgbm,0.3,0.9435,0.5209,0.0,0.0,0.0,0.0,0.0425,0.0,0.0431,0.0,temporal
physionet,mlp,0.3,0.8378,0.4747,0.0,0.0,0.0,0.0,0.0432,0.0,0.0406,0.0,temporal
physionet,dann,0.3,0.9345,0.5199,0.0,0.0,0.0,0.0,0.0425,0.0,0.0395,0.0,temporal
physionet,vrex,0.3,0.9241,0.5717,0.0,0.0,0.0,0.0,0.0464,0.0,0.0465,0.0,temporal
physionet,mixup,0.3,0.9633,0.5383,0.0,0.0,0.0,0.0,0.0433,0.0,0.0417,0.0,temporal
physionet,group_dro,0.3,0.9716,0.5324,0.0,0.0,0.0,0.0,0.0434,0.0,0.0418,0.0,temporal
physionet,resnet,0.3,0.8312,0.4684,0.0,0.0,0.0,0.0,0.0403,0.0,0.0416,0.0,temporal
physionet,tabtransformer,0.3,0.8067,0.4503,0.0,0.0,0.0,0.0,0.0403,0.0,0.0416,0.0,temporal
