experiment,model,noise_rate,id_test_auc,id_test_accuracy,equality_opportunity,demographic_parity_diff,equalized_odds_ratio,predictive_parity_diff
mimic_extract_los_3,group_dro,0.0,0.5234669051878356,0.5842592592592593,0.0729313456451333,0.0681605975723622,0.1415446943217732,0.0839360487247811
mimic_extract_los_3,group_dro,0.0,0.5230339892665474,0.5879629629629629,0.0276150213849538,0.0042950513538748,0.0367490835253451,0.0043478260869564
mimic_extract_los_3,group_dro,0.0,0.5178067978533094,0.4564814814814815,0.067887957675097,0.072642390289449,0.1419913332025232,0.0586961538983695
mimic_extract_los_3,group_dro,0.0,0.5172880143112701,0.4685185185185185,0.086256767781651,0.0257703081232493,0.1069702315330894,0.0972797161442933
mimic_extract_los_3,group_dro,0.0,0.5158944543828266,0.5481481481481482,0.0696185319785409,0.0309990662931839,0.0750366370801903,0.0128335021952043
mimic_extract_los_3,group_dro,0.3,0.5156529516994635,0.4546296296296296,0.0716457761625751,0.0558356676003735,0.1139357646550952,0.069705310880829
mimic_extract_los_3,group_dro,0.3,0.5132432915921288,0.5064814814814815,0.0028430863556576,0.0300653594771241,0.0510546321937858,0.0397186147186147
mimic_extract_los_3,group_dro,0.3,0.5129284436493738,0.4194444444444444,0.0205196667408341,0.0136321195144724,0.0287666939752031,0.0641831962586679
mimic_extract_los_3,group_dro,0.3,0.5123291592128801,0.4861111111111111,0.0417068407129965,0.0061624649859943,0.0840447770382747,0.0958209310632218
mimic_extract_los_3,group_dro,0.3,0.5105778175313058,0.5185185185185185,0.0849959207891418,0.04593837535014,0.1007228099337524,0.0964387015442798
mimic_extract_mort_hosp,group_dro,0.0,0.5858980990559937,0.848314606741573,0.050179211469534,0.0021581670362158,0.0600296572561316,0.1174242424242424
mimic_extract_mort_hosp,group_dro,0.0,0.5814851933272985,0.8348314606741573,0.1677419354838709,0.0414781966001478,0.2304828040487257,0.1358585858585858
mimic_extract_mort_hosp,group_dro,0.0,0.5758922798396482,0.9101123595505618,0.0,0.004020694752402,0.0046879493816508,0.0
mimic_extract_mort_hosp,group_dro,0.0,0.5684081210397,0.849438202247191,0.1168458781362007,0.0355358462675535,0.1432767093125021,0.1259021651964715
mimic_extract_mort_hosp,group_dro,0.0,0.5678342816500711,0.9089887640449438,0.0,0.0028677014042867,0.0029191832039114,0.0
mimic_extract_mort_hosp,group_dro,0.3,0.5871670115091168,0.8865168539325843,0.0222222222222222,0.0087213599408721,0.0351356533410027,0.0588235294117647
mimic_extract_mort_hosp,group_dro,0.3,0.5809517651622915,0.6550561797752809,0.1383512544802867,0.0485735402808573,0.1726768224986934,0.0716811477066074
mimic_extract_mort_hosp,group_dro,0.3,0.580062718220613,0.8943820224719101,0.0100358422939068,0.0168514412416851,0.027622842581511,0.0166666666666666
mimic_extract_mort_hosp,group_dro,0.3,0.5794403853614379,0.7730337078651686,0.1247311827956989,0.0232372505543237,0.136637999016579,0.0950226244343891
mimic_extract_mort_hosp,group_dro,0.3,0.5767974912711754,0.90561797752809,0.0121863799283154,0.0017147080561714,0.0139263856804005,0.0499999999999999
anes,group_dro,0.0,0.8633465065612809,0.8195402298850575,0.0151278512866304,0.0431969330583993,0.1173414676745741,0.0290398546971359
anes,group_dro,0.0,0.7967519126513654,0.7482758620689656,0.2090981410828801,0.2711155471022253,0.6219807294479732,0.1039532589726079
anes,group_dro,0.0,0.7846459694989106,0.704367816091954,0.2902573260816624,0.3142305419278582,0.6554244302389962,0.0857159276353648
anes,group_dro,0.0,0.7813202361047779,0.7703448275862069,0.1465411153502719,0.2382363795430556,0.5990311098338169,0.0955192909713646
anes,group_dro,0.0,0.767432487206769,0.7466666666666667,0.2005195226885299,0.2755840841112089,0.6501772433189608,0.0978029202881274
anes,group_dro,0.3,0.8281801945584436,0.7887356321839081,0.1922623589577076,0.1614054148913383,0.287674815779415,0.0125646711012564
anes,group_dro,0.3,0.8237998429345899,0.7744827586206896,0.290575533728387,0.2594912861592776,0.4832701183467335,0.0448122273164971
anes,group_dro,0.3,0.7695656634746921,0.6229885057471264,0.6673658576183132,0.5290590394000315,0.8698975031879335,0.1134133042529988
anes,group_dro,0.3,0.7636042711658306,0.6942528735632184,0.8700965987498985,0.7504593702498407,1.3385435870987017,0.1375594397649999
anes,group_dro,0.3,0.7410969245579369,0.6827586206896552,0.9156814676515952,0.8275426014292093,1.5354237122193677,0.0540601166442351
college_scorecard,group_dro,0.0,0.9557402382130016,0.9331168831168832,0.0433742401470593,0.0205990322718788,0.0500260759655618,0.030403009327839
college_scorecard,group_dro,0.0,0.926255207845968,0.9176948051948052,0.0060906577042481,0.0227673089648959,0.0231761956231193,0.1332251800506353
college_scorecard,group_dro,0.0,0.9222082306617176,0.9204545454545454,0.3411813666899405,0.0525940819778408,0.3600425980511719,0.0263608232922312
college_scorecard,group_dro,0.0,0.9207300267503188,0.9211850649350648,0.2017628982694484,0.0251170771519836,0.2092003682069183,0.015872521702132
college_scorecard,group_dro,0.0,0.9202400250719258,0.9146915584415584,0.5361238328540491,0.0844157139540651,0.5586246345215174,0.1814373309974483
college_scorecard,group_dro,0.3,0.9220427678336696,0.881737012987013,0.0472499339258312,0.1127483023144353,0.157026268702166,0.168131110299785
college_scorecard,group_dro,0.3,0.9137539713306686,0.905681818181818,0.1836763273018464,0.0296549700360739,0.2007478360400219,0.0385286745516846
college_scorecard,group_dro,0.3,0.9091951882102536,0.8892857142857142,0.0094515646757632,0.0443564875101725,0.0463743640985626,0.0517690995138598
